context = You are an expert in computational linguistics with a specialization in Syriac language processing. An academic has compiled a database of Syriac words and their associated lemma and part-of-speech (POS) tags in a .tsv format, and now requires assistance in tagging new, unseen Syriac texts.
Objective (O):  Examine the provided Syriac content and accurately assign lemma and POS tags to each word, expanding the existing database with entries that follow the established annotation schema.
Style (S): Scientific and analytical.
Tone (T): Neutral and technical.
Audience (A): Expert linguists and researchers specializing in Syriac language.
Response Format (R): A .tsv table with three columns: token, lemma, and POS tag. Each token must have a corresponding lemma and POS tag, as shown in the examples below.
form	lemma	pos
ܘܕܡܢ	ܘـ@ܕـ@ܡܸܢ	PART@PART@PART
ܝܠܕܗ	ܝܲܠܕܵܐ@ܗܘܼ	NOUN@PRO_pers
ܫܠܝܚܐ	ܫܠܝܼܚܵܐ 1	NOUN
ܗܝܕܝܢ	ܗܵܝܕܹܝܢ	ADV
ܪܚܝܩܝܢ	ܪܲܚܝܼܩܵܐ	ADJ
ܗܘܘ	ܗܘܵܐ	V1
ܒܬܪܥܐ	ܒـ@ܬܲܪܥܵܐ	PART@NOUN
ܐܚܝܕܐ	ܐܲܚܝܼܕܵܐ	ADJ
ܒܬܘܠܐ	ܒ̈ܬ݂ܘܼܠܹܐ	NOUN
ܕܐܡܗ	ܕـ@ܐܸܡܵܐ@ܗܘܼ	PART@NOUN@PRO_pers
ܨܪ	ܨܵܪ 1	V1
ܚܟܝܡܐ	ܚܲܟ݁ܝܼܡܵܐ	ADJ
ܒܩܪܝܒܬܐ	ܒـ@ܩܲܪܝܼܒܵܐ	PART@ADJ
ܡܠܦ	ܐܲܠܸܦ	V5
ܗܘܐ	ܗܘܵܐ	V1
ܠܗܘܢ	ܠـ@ܗܸܢܘܿܢ	PART@PRO_pers
ܪܚܝܩܬܐ	ܪܲܚܝܼܩܵܐ	ADJ
ܘܒܕܡܬܚܙܝܢ	ܘـ@ܒـ@ܕـ@ܐܸܬܚܙܝܼ	PART@PART@PART@V2
ܪܡܙ	ܪܡܸܙ	V1
ܗܘܐ	ܗܘܵܐ	V1
ܠܗܘܢ	ܠـ@ܗܸܢܘܿܢ	PART@PRO_pers
ܥܠ	ܥܲܠ 1	PART
ܟܣܝܬܐ	ܟܸܣܝܵܐ	NOUN
ܒܬܘܠܐ	ܒ̈ܬ݂ܘܼܠܹܐ	NOUN
ܚܬܝܡܐ	ܚܬܝܼܡܵܐ	ADJ
ܒܬܪܥܐ	ܒـ@ܬܲܪܥܵܐ	PART@NOUN
ܐܚܝܕܐ	ܐܲܚܝܼܕܵܐ	ADJ
ܚܙܘ	ܚܙܵܐ	V1
ܬܠܡܝܕܐ	ܬܲܠܡܝܼܕܵܐ	NOUN
ܕܠܐ	ܕـ@ܠܵܐ	PART@PART
ܦܬܚ	ܦܬܲܚ	V1
ܟܕ	ܟܲܕ	PART
ܥܠ	ܥܲܠ 2	V1
ܠܐ	ܠܵܐ	PART
ܫܪܐ	ܫܪܵܐ	V1
ܘܢܦܩ	ܘـ@ܢܦܲܩ	PART@V1
ܬܗܪܐ	ܬܸܗܪܵܐ	NOUN
ܪܒܐ	ܪܲܒ݁ܵܐ	ADJ
ܠܐ	ܠܵܐ	PART
ܐܬܬܙܝܥܘ	ܐܸܬ݁ܬ݁ܙܝܼܥ	V6
ܗܘܘ	ܗܘܵܐ	V1
ܬܪܥܐ	ܬܲܪܥܵܐ	NOUN
ܩܕܡܘܗܝ	ܩܕܵܡ@ܗܘܼ	PART@PRO_pers
ܟܕ	ܟܲܕ	PART
ܥܐܠ	ܥܲܠ 2	V1
ܗܘܐ	ܗܘܵܐ	V1
ܐܦܠܐ	ܐܵܦ@ܠܵܐ	PART@PART
ܒܬܘܠܐ	ܒ̈ܬ݂ܘܼܠܹܐ	NOUN
ܚܬܡܗܘܢ	ܚܵܬܡܵܐ@ܗܸܢܘܿܢ	NOUN@PRO_pers
ܐܘܒܕܘ	ܐܵܘܒܸܕ	V5
ܟܕ	ܟܲܕ	PART
ܢܦܩ	ܢܦܲܩ	V1
ܗܘܐ	ܗܘܵܐ	V1
ܫܪܐ	ܫܪܵܐ	V1
ܒܥܠܝܬܐ	ܒـ@ܥ̤ܠܝܼܬܵܐ	PART@NOUN
ܘܣܘܟܪܐ	ܘـ@ܣܘܼܟ݁ܪܵܐ	PART@NOUN
ܐܚܝܕܝܢ	ܐܲܚܝܼܕܵܐ	ADJ
ܨܝܕ	ܨܹܝܕ	PART
ܬܠܡܝܕܐ	ܬܲܠܡܝܼܕܵܐ	NOUN
ܢܦܩ	ܢܦܲܩ	V1
ܡܢ	ܡܸܢ	PART
ܟܪܣܐ	ܟܲܪܣܵܐ	NOUN
ܘܛܒܥܐ	ܘـ@ܛܲܒܥܵܐ	PART@NOUN
ܚܬܝܡܝܢ	ܚܬܝܼܡܵܐ	ADJ
ܕܒܬܘܠܘܬܐ	ܕـ@ܒܬ݂ܘܼܠܘܼܬ݂ܵܐ	PART@NOUN
ܒܬܗܪܐ	ܒـ@ܬܸܗܪܵܐ	PART@NOUN
ܢܦܩ	ܢܦܲܩ	V1
ܗܘܐ	ܗܘܵܐ	V1
ܡܢ	ܡܸܢ	PART
ܓܘ	ܓܵܘ	NOUN
ܟܪܣܐ	ܟܲܪܣܵܐ	NOUN
ܕܠܐ	ܕـ@ܠܵܐ	PART@PART
ܦܘܫܩܐ	ܦܘܼܫܵܩܵܐ	NOUN
ܘܒܬܕܡܘܪܬܐ	ܘـ@ܒـ@ܬܸܕܡܘܿܪܬܵܐ	PART@PART@NOUN
ܫܪܐ	ܫܪܵܐ	V1
ܒܥܠܝܬܐ	ܒـ@ܥ̤ܠܝܼܬܵܐ	PART@NOUN
ܘܠܐ	ܘـ@ܠܵܐ	PART@PART
ܡܬܥܩܒ	ܐܸܬܥܲܩܲܒ	V4
ܐܝܢܐ	ܐܲܝܢܵܐ	PRO_int
ܕܐܡܪ	ܕـ@ܐܸܡܲܪ	PART@V1
ܕܫܪܐ	ܕـ@ܫܪܵܐ	PART@V1
ܒܬܘܠܐ	ܒ̈ܬ݂ܘܼܠܹܐ	NOUN
ܟܕ	ܟܲܕ	PART
ܢܦܩ	ܢܦܲܩ	V1
ܗܘܐ	ܗܘܵܐ	V1
ܢܐܡܪ	ܐܸܡܲܪ	V1
ܡܕܝܢ	ܡܵܕܹܝܢ	ADV
ܕܦܬܚ	ܕـ@ܦܬܲܚ	PART@V1
ܬܪܥܐ	ܬܲܪܥܵܐ	NOUN
ܟܕ	ܟܲܕ	PART
ܥܐܠ	ܥܲܠ 2	V1
ܗܘܐ	ܗܘܵܐ	V1
ܐܢ	ܐܸܢ	PART
ܗܝ	ܗܵܝ	PRO_dem
ܥܣܩܐ	ܥܲܣܩܵܐ	ADJ
ܐܦܠܐ	ܐܵܦ@ܠܵܐ	PART@PART
ܗܕܐ	ܗܵܕܸܐ	PRO_dem
ܦܫܝܩܐ	ܦܫܝܼܩܵܐ	ADJ
ܡܕܝܢ	ܡܵܕܹܝܢ	ADV
ܚܕ	ܚܲܕ	CARD
ܗܘ	ܗܘܼ	PRO_pers
ܬܗܪܐ	ܬܸܗܪܵܐ	NOUN
ܘܕܠܐ	ܘـ@ܕـ@ܠܵܐ	PART@PART@PART
ܬܚܘܡܐ	ܬܚܘܼܡܵܐ	NOUN
ܗܘܝ	ܗܘܵܐ	V1
ܬܪܬܝܗܝܢ	ܬܪܹ̈ܝܢ@ܗܸܢܹܝܢ	CARD@PRO_pers
ܡܐ	ܡܵܐ	PRO_int
ܕܐܠܗܐ	ܕـ@ܐܲܠܵܗܵܐ	PART@NOUN
ܣܥܪ	ܣܥܲܪ	V1
ܡܕܡ	ܡܸܕܸ݁ܡ	PRO_ind
ܨܒܝܢܐܝܬ	ܨܸܒܝܵܢܵܐܝܼܬ	ADV
ܠܐ	ܠܵܐ	PART
ܡܬܘܡ	ܡܬܘܿܡ	ADV
ܬܐܡܪ	ܐܸܡܲܪ	V1
ܕܐܝܟܢ	ܕـ@ܐܲܝܟ݁ܲܢܵܐ	PART@PRO_int
ܘܟܡܐ	ܘـ@ܟܡܵܐ	PART@PRO_int
ܘܕܐܝܟܢܐ	ܘـ@ܕـ@ܐܲܝܟ݁ܲܢܵܐ	PART@PART@PRO_int
ܠܘ	ܠܵܘ	ADV
ܒܬܚܘܡܐ	ܒـ@ܬܚܘܼܡܵܐ	PART@NOUN
ܐܣܝܪ	ܐܲܣܝܼܪܵܐ	NOUN
ܨܒܝܢܗ	ܨܸܒܝܵܢܵܐ@ܗܘܼ	NOUN@PRO_pers
ܕܟܡܐ	ܕـ@ܟܡܵܐ	PART@PRO_int
ܢܣܥܘܪ	ܣܥܲܪ	V1
ܫܪܝܐ	ܫܲܪܝܵܐ	ADJ
ܗܘ	ܗܘܼ	PRO_pers
ܚܝܠܗ	ܚܲܝܠܵܐ@ܗܘܼ	NOUN@PRO_pers
ܘܬܚܝܬ	ܘـ@ܬܚܹܝܬ	PART@PART
ܣܟܐ	ܣܵܟܵܐ	NOUN
ܠܐ	ܠܵܐ	PART
ܡܣܬܝܟ	ܐܸܣܬܲܝܲܟ	V4
ܕܟܝܢܐܝܬ	ܕـ@ܟܝܵܢܵܐܝܼܬ	PART@ADV
ܐܦܫܩ	ܦܲܫܸܩ	V3
ܠܟ	ܠـ@ܐܲܢ̄ܬ݁	PART@PRO_pers
ܐܢ	ܐܸܢ	PART
ܬܬܒܥ	ܬܒܲܥ	V1
ܡܢܝ	ܡܸܢ@ܐܸܢܵܐ	PART@PRO_pers
ܠܐ	ܠܵܐ	PART
ܝܕܥ	ܝܼܕܲܥ	V1
ܐܢܐ	ܐܸܢܵܐ	PRO_pers
ܐܝܟܢ	ܐܲܝܟ݁ܲܢܵܐ	PRO_int
ܥܠ	ܥܲܠ 2	V1
ܗܘܐ	ܗܘܵܐ	V1
ܨܝܕ	ܨܹܝܕ	PART
ܬܠܡܝܕܐ	ܬܲܠܡܝܼܕܵܐ	NOUN
ܡܐ	ܡܵܐ	PRO_int
ܕܬܕܡܘܪܬܐ	ܕـ@ܬܸܕܡܘܿܪܬܵܐ	PART@NOUN
ܗܝ	ܗܝܼ	PRO_pers
ܠܐ	ܠܵܐ	PART
ܡܬܚܒܫܐ	ܐܸܬܚܒܸܫ	V2
ܬܚܝܬ	ܬܚܹܝܬ	PART
ܦܘܫܩܐ	ܦܘܼܫܵܩܵܐ	NOUN
ܐܢܕܝܢ	ܐܸܢ@ܕܹܝܢ	PART@PART
ܡܨܝܐ	ܡܨܵܐ 2	V1
ܠܡܬܦܫܩܘ	ܠـ@ܐܸܬܦܲܫܲܩ	PART@V4
ܠܘ	ܠܵܘ	ADV
ܬܕܡܘܪܬܐ	ܬܸܕܡܘܿܪܬܵܐ	NOUN
ܗܝ	ܗܝܼ	PRO_pers
ܕܐܬܗܪ	ܕـ@ܬܗܲܪ	PART@V1
ܐܝܬ	ܐܝܼܬ	PART
ܠܝ	ܠـ@ܐܸܢܵܐ	PART@PRO_pers
ܡܛܠ	ܡܸܛܘܿܠ	PART
ܗܠܝܢ	ܗܵܠܹܝܢ	PRO_dem
ܠܘ	ܠܵܘ	ADV
ܕܐܦܫܩ	ܕـ@ܦܲܫܸܩ	PART@V3
ܕܘܡܪܐ	ܕܘܼܡܵܪܵܐ	NOUN
ܗܝ	ܗܝܼ	PRO_pers
ܓܝܪ	ܓܹܝܪ	PART
ܟܠܗ	ܟܘܿܠ@ܗܝܼ	PRO_ind@PRO_pers
ܐܘܪܚܐ	ܐܘܼܪܚܵܐ	NOUN
ܕܣܥܘܪܘܬܗ	ܕـ@ܣܵܥܘܿܪܘܼܬܵܐ@ܗܘܼ	PART@NOUN@PRO_pers
ܢܦܩ	ܢܦܲܩ	V1
ܡܢ	ܡܸܢ	PART
ܟܪܣܐ	ܟܲܪܣܵܐ	NOUN
ܦܓܪܢܐܝܬ	ܦܲܓܪܵܢܵܐܝܼܬ	ADV
ܘܚܬܝܡܐ	ܘـ@ܚܬܝܼܡܵܐ	PART@ADJ
ܗܘܬ	ܗܘܵܐ	V1
ܘܐܢ	ܘـ@ܐܸܢ	PART@PART
ܬܬܒܥ	ܬܒܲܥ	V1
ܡܢܝ	ܡܸܢ@ܐܸܢܵܐ	PART@PRO_pers
ܠܐ	ܠܵܐ	PART
ܝܕܥ	ܝܼܕܲܥ	V1
ܐܢܐ	ܐܸܢܵܐ	PRO_pers
ܕܐܦܫܩ	ܕـ@ܦܲܫܸܩ	PART@V3
ܠܟ	ܠـ@ܐܲܢ̄ܬ݁	PART@PRO_pers
ܗܦܟ	ܗܦܲܟ	V1
ܬܘܒ	ܬܘܼܒ	ADV
ܥܠ	ܥܲܠ 2	V1
ܗܘܐ	ܗܘܵܐ	V1
ܠܓܘ	ܠـ@ܓܵܘ	PART@NOUN
ܥܠܝܬܐ	ܥ̤ܠܝܼܬܵܐ	NOUN
ܘܐܚܝܕܐ	ܘـ@ܐܲܚܝܼܕܵܐ	PART@ADJ
ܗܘܬ	ܗܘܵܐ	V1
ܕܐܦ	ܕـ@ܐܵܦ	PART@PART
ܗܝ	ܗܝܼ	PRO_pers
ܗܕܐ	ܗܵܕܸܐ	PRO_dem
ܠܥܠ	ܠܥܸܠ	ADV
ܡܢ	ܡܸܢ	PART
ܣܟܐ	ܣܵܟܵܐ	NOUN
ܗܝ	ܗܝܼ	PRO_pers
ܐܝܟܢ	ܐܲܝܟ݁ܲܢܵܐ	PRO_int
ܕܐܦ	ܕـ@ܐܵܦ	PART@PART
ܗܝ	ܗܵܝ	PRO_dem
ܒܦܓܪܐ	ܒـ@ܦܲܓܪܵܐ	PART@NOUN
ܕܐܢܫܐ	ܕـ@ܐ̄ܢܵܫܵܐ	PART@NOUN
ܢܦܩ	ܢܦܲܩ	V1
ܒܒܬܘܠܐ	ܒـ@ܒ̈ܬ݂ܘܼܠܹܐ	PART@NOUN
ܘܠܐ	ܘـ@ܠܵܐ	PART@PART
ܫܪܐ	ܫܪܵܐ	V1
ܐܢܘܢ	ܐܸܢܘܿܢ	PRO_pers
ܒܗ	ܒـ@ܗܘܼ	PART@PRO_pers
ܬܘܒ	ܬܘܼܒ	ADV
ܟܕ	ܟܲܕ	PART
ܒܗ	ܒـ@ܗܘܼ	PART@PRO_pers
ܥܠ	ܥܲܠ 2	V1
ܡܢ	ܡܸܢ	PART
ܬܪܥܐ	ܬܲܪܥܵܐ	NOUN
ܘܠܐ	ܘـ@ܠܵܐ	PART@PART
ܦܬܚ	ܦܬܲܚ	V1
