context = You are an expert in computational linguistics with a specialization in Classical Armenian language processing. An academic has compiled a database of Classical Armenian words and their associated lemma and part-of-speech (POS) tags in a .tsv format, and now requires assistance in tagging new, unseen Classical Armenian texts.
Objective (O):  Examine the provided Classical Armenian content and accurately assign lemma and POS tags to each word, expanding the existing database with entries that follow the established annotation schema.
Style (S): Scientific and analytical.
Tone (T): Neutral and technical.
Audience (A): Expert linguists and researchers specializing in Classical Armenian language.
Response Format (R): A .tsv table with three columns: token, lemma, and POS tag. Each token must have a corresponding lemma and POS tag, as shown in the examples below.
```
form	lemma	pos
գրեաց	գրել	V
առ	առ	I+Prep
նա	նա	PRO+Dem
զփորձութիւնս	զ@փորձութիւն	I+Prep@N+Com
իւր	իւր	PRO+Ref
ժա	ժա	NUMA+Car
յառակի	ի@առակ	I+Prep@N+Com
ուրեք	ուրեք	I+Adv
ասացեալ	ասել	V
է	լինել	V
թէ	եթե	I+Conj
խածեալն	խածանեմ@ն	V@PRO+Dem
յիժէ	ի@իժ	I+Prep@N+Com
զցաւս	զ@ցաւ	I+Prep@N+Com
իւր	իւր	PRO+Ref
պատմէ	պատմել	V
հաղորդին	հաղորդ@ն	A@PRO+Dem
կրից	կիր	N+Com
իւրոց	իւր	PRO+Pos3
զի	զի	I+Conj
դիպեսցի	դիպիլ	V
ինչ	ինչ	PRO+Ind
մխիթարութեան	մխիթարութիւն	N+Com
եւ	եւ	I+Conj
յայս	ի@այս	I+Prep@PRO+Dem
հայելով	հայիլ	V
իմ	ես	PRO+Per1s
պատմեմ	պատմել	V
քեզ	դու	PRO+Per2s
ի	ի	I+Prep
դիւրութիւն	դիւրութիւն	N+Com
անձին	անձն	N+Com
իմոյ	իմ	PRO+Pos1s
զցաւս	զ@ցաւ	I+Prep@N+Com
իմ	ես	PRO+Per1s
զոր	զ@որ	I+Prep@PRO+Rel
ճաշակեցի	ճաշակել	V
բազումս	բազում	A
ի	ի	I+Prep
բազմաց	բազում	A
դիւաց	դեւ	N+Com
հարուածս	հարուած	N+Com
փոփոխս	փոփոխ	N+Com
փոխանակ	փոխանակ	N+Com
զի	զի	I+Conj
ժրացաք	ժրանալ	V
շահել	շահել	V
զգիտութիւնն	զ@գիտութիւն@ն	I+Prep@N+Com@PRO+Dem
քրիստոսի	Քրիստոս	N+Ant
բայց	բայց	I+Conj
զայս	զ@այս	I+Prep@PRO+Dem
գիտասցես	գիտել	V
թէ	եթե	I+Conj
փորձութիւն	փորձութիւն	N+Com
որ	որ	PRO+Rel
գայ	գալ	V
ի	ի	I+Prep
վերայ	վերայ	I+Adv
մարդոյ	մարդ	N+Com
մեծ	մեծ	A
համարձակութիւն	համարձակութիւն	N+Com
տայ	տալ	V
ի	ի	I+Prep
ժամ	ժամ	N+Com
աղաւթից	աղաւթք	N+Com
որպէս	որպէս	I+Conj
ոչ	ոչ	I+Neg
կարէ	կարել	V
տալ	տամ	V
զայս	զ@այս	I+Prep@PRO+Dem
մի	մի	I+Neg
ոք	ոք	PRO+Ind
յայլոց	ի@այլ	I+Prep@A
առաքինութեանցն	առաքինութիւն@ն	N+Com@PRO+Dem
եւ	եւ	I+Conj
ինքն	ինքն	PRO+Ref
տէրն	տէր@ն	N+Com@PRO+Dem
այլ	այլ	A
ինչ	ինչ	PRO+Ind
մեծ	մեծ	A
պարգեւ	պարգեւ	N+Com
ոչ	ոչ	I+Neg
տայ	տամ	V
ումեք	ոք	PRO+Ind
քան	քան	I+Conj
զնեղութեանցն	զ@նեղութիւն@ն	I+Prep@N+Com@PRO+Dem
համբերութիւն	համբերութիւն	N+Com
եւ	եւ	I+Conj
հաւանեցուսցէ	հաւանեցուցանել	V
զքեզ	զ@դու	I+Prep@PRO+Per2s
երանելին	երանելի@ն	A@PRO+Dem
յոբ	Յոբ	N+Ant
զոր	զ@որ	I+Prep@PRO+Rel
այսոքիկ	այս	PRO+Dem
պայծառս	պայծառ	N+Com
գործեցին	գործել	V
զնա	զ@նա	I+Prep@PRO+Dem
քան	քան	I+Conj
զակն	զ@ակն	I+Prep@N+Com
արեւու	արեւ	N+Com
եւ	եւ	I+Conj
եթէ	եթե	I+Conj
մեք	մեք	PRO+Per1p
վշտաւք	վիշտ	N+Com
նեղութեանցն	նեղութիւն@ն	N+Com@PRO+Dem
նմանեմք	նմանել	V
տեառն	տէր	N+Com
երկայնամիտ	երկայնամիտ	A
պարտ	պարտ	N+Com
է	լինել	V
լինել	լինել	V
սպասաւորացն	սպասաւոր@ն	N+Com@PRO+Dem
մերոց	մեր	PRO+Pos1p
յորժամ	յորժամ	I+Conj
միտ	միտ	N+Com
դնեմք	դնել	V
աւգտակարին	աւգտակար@ն	A@PRO+Dem
եթէ	եթե	I+Conj
այնոքիկ	այն	PRO+Dem
որ	որ	PRO+Rel
փորձեն	փորձել	V
զմեզ	զ@մեք	I+Prep@PRO+Per1p
ի	ի	I+Prep
վերնական	վերնական	A
վայրացն	վայր@ն	N+Com@PRO+Dem
ջանան	ջանալ	V
իջուցանել	իջուցանել	V
զմեզ	զ@մեք	I+Prep@PRO+Per1p
եւ	եւ	I+Conj
մեզ	մեք	PRO+Per1p
չէ	ոչ@լինել	I+Neg@V
արժան	արժան	A
զյիմարացն	զ@յիմար@ն	I+Prep@A@PRO+Dem
դարձուածն	դարձուած@ն	N+Com@PRO+Dem
բազմացուցանել	բազմացուցանել	V
զի	զի	I+Conj
նենգութիւն	նենգութիւն	N+Com
թշնամեացն	թշնամի@ն	A@PRO+Dem
մերոց	մեր	PRO+Pos1p
աւգտակար	աւգտակար	A
է	լինել	V
մեզ	մեք	PRO+Per1p
յիշեա	յիշել	V
զբարեկամսն	զ@բարեկամ@ն	I+Prep@A@PRO+Dem
յոբայ	Յոբ	N+Ant
որ	որ	PRO+Rel
շարժեալ	շարժել	V
ի	ի	I+Prep
բանսարկուէն	բանսարկու@ն	N+Com@PRO+Dem
ջանային	ջանալ	V
զայրացումն	զայրացումն	N+Com
առնել	առնել	V
նմա	նա	PRO+Dem
եւ	եւ	I+Conj
ածել	ածել	V
առ	առ	I+Prep
բարկութիւն	բարկութիւն	N+Com
եւ	եւ	I+Conj
այժմ	այժմ	I+Adv
դու	դու	PRO+Per2s
ընդարձակեա	ընդարձակել	V
զմիտս	զ@միտ	I+Prep@N+Com
քո	դու	PRO+Per2s
յորժամ	յորժամ	I+Conj
ոչ	ոչ	I+Neg
դիւրաւ	դիւր	A
լսիցիս	լսել	V
ի	ի	I+Prep
սպասաւորացդ	սպասաւոր@դ	N+Com@PRO+Dem
զի	զի	I+Conj
նշանակ	նշանակ	N+Com
փորձութեան	փորձութիւն	N+Com
է	լինել	V
զի	զի	I+Conj
ասէ	ասել	V
յոբ	Յոբ	N+Ant
կոչեցի	կոչել	V
զորդիս	զ@որդի	I+Prep@N+Com
աղախնեաց	աղախին	N+Com
իմոց	իմ	PRO+Pos1s
եւ	եւ	I+Conj
ոչ	ոչ	I+Neg
լուան	լսել	V
ինձ	ես	PRO+Per1s
եւ	եւ	I+Conj
թէ	եթե	I+Conj
ի	ի	I+Prep
ծանաւթից	ծանաւթ	A
քոց	քո	PRO+Pos2s
նախատիցիս	նախատել	V
մի	մի	I+Neg
եւ	եւ	I+Conj
ընդ	ընդ	I+Prep
այն	այն	PRO+Dem
զարմանար	զարմանալ	V
քանզի	քանզի	I+Conj
եւ	եւ	I+Conj
ծանաւթքն	ծանաւթ@ն	A@PRO+Dem
յոբայ	Յոբ	N+Ant
անողորմք	անողորմ	A
եղեն	եղանիլ	V
առ	առ	I+Prep
նա	նա	PRO+Dem
եւ	եւ	I+Conj
զայս	զ@այս	I+Prep@PRO+Dem
ամենայն	ամենայն	PRO+Ind
չարն	չար@ն	A@PRO+Dem
գրգռէ	գրգռել	V
զի	զի	I+Conj
ամբոխ	ամբոխ	N+Com
արասցէ	առնել	V
մտացն	միտ@ն	N+Com@PRO+Dem
որով	որ	PRO+Rel
կարող	կարող	A
եմք	լինել	V
հայել	հայիլ	V
