text_form	form	lemma	pos
Նորին	նորին	նոյն	PRO+Dem
Եւագրեայ	եւագրեայ	Եւագրիոս	N+Ant
Թուղթ	թուղթ	թուղթ	N+Com
Առ	առ	առ (ի)	I+Prep
Մելինէ	մելինէ	Մելինէ	N+Ant
Տիկին	տիկին	տիկին	N+Com
Զի	զի	զի	I+Conj
առաքեաց	առաքեաց	առաքեմ	V
առ	առ	առ (ի)	I+Prep
Եւագր,	եւագր	Եւագր	N+Ant
թե	թե	եթե	I+Conj
ուր	ուր	ուր	I+Adv
եւ	եւ	եւ	I+Conj
զիարդ	զիարդ	զիարդ	I+Adv
կայցէ,	կայցէ	կամ (կալ)	V
եւ	եւ	եւ	I+Conj
գրեաց	գրեաց	գրեմ	V
առ	առ	առ (ի)	I+Prep
նա	նա	նա (նա)	PRO+Dem
զփորձութիւնս	զփորձութիւնս	զ@փորձութիւն	I+Prep@N+Com
իւր։	իւր	իւր (իւրեանց)	PRO+Ref
῀ժա․	ժա	ժա	NUMA+Car
Յառակի	յառակի	ի@առակ	I+Prep@N+Com
ուրեք	ուրեք	ուրեք	I+Adv
ասացեալ	ասացեալ	ասեմ	V
է,	է	եմ	V
թէ	թէ	եթե	I+Conj
խածեալն	խածեալն	խածանեմ@ն	V@PRO+Dem
յիժէ	յիժէ	ի@իժ	I+Prep@N+Com
զցաւս	զցաւս	զ@ցաւ	I+Prep@N+Com
իւր	իւր	իւր (իւրեանց)	PRO+Ref
պատմէ	պատմէ	պատմեմ	V
հաղորդին	հաղորդին	հաղորդ@ն	A@PRO+Dem
կրից	կրից	կիր	N+Com
իւրոց․	իւրոց	իւր (իւրոց)	PRO+Pos3
զի	զի	զի	I+Conj
դիպեսցի	դիպեսցի	դիպիմ	V
ինչ	ինչ	ինչ (իրիք)	PRO+Ind
մխիթարութեան։	մխիթարութեան	մխիթարութիւն	N+Com
Եւ	եւ	եւ	I+Conj
յայս	յայս	ի@այս (սա)	I+Prep@PRO+Dem
հայելով	հայելով	հայիմ	V
իմ՝	իմ	ես	PRO+Per1s
պատմեմ	պատմեմ	պատմեմ	V
քեզ	քեզ	դու	PRO+Per2s
ի	ի	ի	I+Prep
դիւրութիւն	դիւրութիւն	դիւրութիւն	N+Com
անձին	անձին	անձն	N+Com
իմոյ	իմոյ	իմ	PRO+Pos1s
զցաւս	զցաւս	զ@ցաւ	I+Prep@N+Com
իմ	իմ	ես	PRO+Per1s
զոր	զոր	զ@որ	I+Prep@PRO+Rel
ճաշակեցի	ճաշակեցի	ճաշակեմ	V
բազումս՝	բազումս	բազում	A
ի	ի	ի	I+Prep
բազմաց	բազմաց	բազում	A
դիւաց՝	դիւաց	դեւ	N+Com
հարուածս	հարուածս	հարուած	N+Com
փոփոխս,	փոփոխս	փոփոխ	N+Com
փոխանակ	փոխանակ	փոխանակ	N+Com
զի	զի	զի	I+Conj
ժրացաք	ժրացաք	ժրանամ	V
շահել	շահել	շահեմ	V
զգիտութիւնն	զգիտութիւնն	զ@գիտութիւն@ն	I+Prep@N+Com@PRO+Dem
Քրիստոսի։	քրիստոսի	Քրիստոս	N+Ant
Բայց	բայց	բայց	I+Conj
զայս	զայս	զ@այս (սա)	I+Prep@PRO+Dem
գիտասցես՝	գիտասցես	գիտեմ	V
թէ	թէ	եթե	I+Conj
փորձութիւն	փորձութիւն	փորձութիւն	N+Com
որ	որ	որ	PRO+Rel
գայ	գայ	գամ (գալ)	V
ի	ի	ի	I+Prep
վերայ	վերայ	վերայ	I+Adv
մարդոյ,	մարդոյ	մարդ	N+Com
մեծ	մեծ	մեծ	A
համարձակութիւն	համարձակութիւն	համարձակութիւն	N+Com
տայ	տայ	տամ	V
ի	ի	ի	I+Prep
ժամ	ժամ	ժամ	N+Com
աղաւթից,	աղաւթից	աղաւթք	N+Com
որպէս	որպէս	որպէս	I+Conj
ոչ	ոչ	ոչ	I+Neg
կարէ	կարէ	կարեմ	V
տալ	տալ	տամ	V
զայս	զայս	զ@այս (սա)	I+Prep@PRO+Dem
մի	մի	մի (ոչ)	I+Neg
ոք	ոք	ոք	PRO+Ind
յայլոց	յայլոց	ի@այլ (այլոց)	I+Prep@A
առաքինութեանցն․	առաքինութեանցն	առաքինութիւն@ն	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
ինքն	ինքն	ինքն	PRO+Ref
տէրն	տէրն	տէր@ն	N+Com@PRO+Dem
այլ	այլ	այլ (այլոց)	A
ինչ	ինչ	ինչ (իրիք)	PRO+Ind
մեծ	մեծ	մեծ	A
պարգեւ	պարգեւ	պարգեւ	N+Com
ո՛չ	ոչ	ոչ	I+Neg
տայ	տայ	տամ	V
ումեք	ումեք	ոք	PRO+Ind
քան	քան	քան	I+Conj
զնեղութեանցն	զնեղութեանցն	զ@նեղութիւն@ն	I+Prep@N+Com@PRO+Dem
համբերութիւն․	համբերութիւն	համբերութիւն	N+Com
եւ	եւ	եւ	I+Conj
հաւանեցուսցէ	հաւանեցուսցէ	հաւանեցուցանեմ	V
զքեզ	զքեզ	զ@դու	I+Prep@PRO+Per2s
երանելին	երանելին	երանելի@ն	A@PRO+Dem
յոբ․	յոբ	Յոբ	N+Ant
զոր	զոր	զ@որ	I+Prep@PRO+Rel
այսոքիկ	այսոքիկ	այս (սա)	PRO+Dem
պայծառս	պայծառս	պայծառ	N+Com
գործեցին	գործեցին	գործեմ	V
զնա	զնա	զ@նա (նա)	I+Prep@PRO+Dem
քան	քան	քան	I+Conj
զակն	զակն	զ@ակն	I+Prep@N+Com
արեւու․	արեւու	արեւ	N+Com
եւ	եւ	եւ	I+Conj
եթէ	եթէ	եթե	I+Conj
մեք	մեք	մեք	PRO+Per1p
վշտաւք	վշտաւք	վիշտ	N+Com
նեղութեանցն	նեղութեանցն	նեղութիւն@ն	N+Com@PRO+Dem
նմանեմք	նմանեմք	նմանեմ	V
Տեառն՝	տեառն	տէր	N+Com
երկայնամիտ	երկայնամիտ	երկայնամիտ	A
պարտ	պարտ	պարտ	N+Com
է	է	եմ	V
լինել	լինել	լինիմ	V
սպասաւորացն	սպասաւորացն	սպասաւոր@ն	N+Com@PRO+Dem
մերոց․	մերոց	մեր	PRO+Pos1p
յորժամ	յորժամ	յորժամ	I+Conj
միտ	միտ	միտ	N+Com
դնեմք	դնեմք	դնեմ	V
աւգտակարին։	աւգտակարին	աւգտակար@ն	A@PRO+Dem
Եթէ	եթէ	եթե	I+Conj
այնոքիկ	այնոքիկ	այն	PRO+Dem
որ	որ	որ	PRO+Rel
փորձեն	փորձեն	փորձեմ	V
զմեզ,	զմեզ	զ@մեք	I+Prep@PRO+Per1p
ի	ի	ի	I+Prep
վերնական	վերնական	վերնական	A
վայրացն	վայրացն	վայր@ն	N+Com@PRO+Dem
ջանան	ջանան	ջանամ	V
իջուցանել	իջուցանել	իջուցանեմ	V
զմեզ․	զմեզ	զ@մեք	I+Prep@PRO+Per1p
եւ	եւ	եւ	I+Conj
մեզ	մեզ	մեք	PRO+Per1p
չէ	չէ	ոչ@եմ	I+Neg@V
արժան	արժան	արժան	A
զյիմարացն	զյիմարացն	զ@յիմար@ն	I+Prep@A@PRO+Dem
դարձուածն	դարձուածն	դարձուած@ն	N+Com@PRO+Dem
բազմացուցանել․	բազմացուցանել	բազմացուցանեմ	V
զի	զի	զի	I+Conj
նենգութիւն	նենգութիւն	նենգութիւն	N+Com
թշնամեացն	թշնամեացն	թշնամի@ն	A@PRO+Dem
մերոց	մերոց	մեր	PRO+Pos1p
աւգտակար	աւգտակար	աւգտակար	A
է	է	եմ	V
մեզ։	մեզ	մեք	PRO+Per1p
Յիշեա՛	յիշեա	յիշեմ	V
զբարեկամսն	զբարեկամսն	զ@բարեկամ@ն	I+Prep@A@PRO+Dem
Յոբայ,	յոբայ	Յոբ	N+Ant
որ	որ	որ	PRO+Rel
շարժեալ	շարժեալ	շարժեմ	V
ի	ի	ի	I+Prep
բանսարկուէն	բանսարկուէն	բանսարկու@ն	N+Com@PRO+Dem
ջանային	ջանային	ջանամ	V
զայրացումն	զայրացումն	զայրացումն	N+Com
առնել	առնել	առնեմ	V
նմա,	նմա	նա (նա)	PRO+Dem
եւ	եւ	եւ	I+Conj
ածել	ածել	ածեմ	V
առ	առ	առ (ի)	I+Prep
բարկութիւն։	բարկութիւն	բարկութիւն	N+Com
Եւ	եւ	եւ	I+Conj
այժմ	այժմ	այժմ	I+Adv
դու	դու	դու	PRO+Per2s
ընդարձակեա	ընդարձակեա	ընդարձակեմ	V
զմիտս	զմիտս	զ@միտ	I+Prep@N+Com
քո,	քո	դու	PRO+Per2s
յորժամ	յորժամ	յորժամ	I+Conj
ոչ	ոչ	ոչ	I+Neg
դիւրաւ	դիւրաւ	դիւր	A
լսիցիս	լսիցիս	լսեմ	V
ի	ի	ի	I+Prep
սպասաւորացդ․	սպասաւորացդ	սպասաւոր@դ	N+Com@PRO+Dem
զի	զի	զի	I+Conj
նշանակ	նշանակ	նշանակ	N+Com
փորձութեան	փորձութեան	փորձութիւն	N+Com
է,	է	եմ	V
զի	զի	զի	I+Conj
ասէ	ասէ	ասեմ	V
Յոբ․	յոբ	Յոբ	N+Ant
Կոչեցի	կոչեցի	կոչեմ	V
զորդիս	զորդիս	զ@որդի	I+Prep@N+Com
աղախնեաց	աղախնեաց	աղախին	N+Com
իմոց,	իմոց	իմ	PRO+Pos1s
եւ	եւ	եւ	I+Conj
ոչ	ոչ	ոչ	I+Neg
լուան	լուան	լսեմ	V
ինձ։	ինձ	ես	PRO+Per1s
Եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
ի	ի	ի	I+Prep
ծանաւթից	ծանաւթից	ծանաւթ	A
քոց	քոց	քո	PRO+Pos2s
նախատիցիս,	նախատիցիս	նախատեմ	V
մի՛	մի	մի (ոչ)	I+Neg
եւ	եւ	եւ	I+Conj
ընդ	ընդ	ընդ	I+Prep
այն	այն	այն	PRO+Dem
զարմանար․	զարմանար	զարմանամ	V
քանզի	քանզի	քանզի	I+Conj
եւ	եւ	եւ	I+Conj
ծանաւթքն	ծանաւթքն	ծանաւթ@ն	A@PRO+Dem
Յոբայ	յոբայ	Յոբ	N+Ant
անողորմք	անողորմք	անողորմ	A
եղեն	եղեն	եղանիմ	V
առ	առ	առ (ի)	I+Prep
նա։	նա	նա (նա)	PRO+Dem
Եւ	եւ	եւ	I+Conj
զայս	զայս	զ@այս (սա)	I+Prep@PRO+Dem
ամենայն	ամենայն	ամենայն	PRO+Ind
չարն	չարն	չար@ն	A@PRO+Dem
գրգռէ,	գրգռէ	գրգռեմ	V
զի	զի	զի	I+Conj
ամբոխ	ամբոխ	ամբոխ	N+Com
արասցէ	արասցէ	առնեմ	V
մտացն,	մտացն	միտ@ն	N+Com@PRO+Dem
որով	որով	որ	PRO+Rel
կարող	կարող	կարող	A
եմք	եմք	եմ	V
հայել	հայել	հայիմ	V
յարարիչն,	յարարիչն	ի@արարիչ@ն	I+Prep@N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
մատուցանել	մատուցանել	մատուցանեմ	V
նմա	նմա	նա (նա)	PRO+Dem
աղաւթս	աղաւթս	աղաւթք	N+Com
արդարս,	արդարս	արդար	A
եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
որ	որ	որ	PRO+Rel
փորձին՝	փորձին	փորձեմ@ն	V@PRO+Dem
մատչի	մատչի	մատչիմ	V
առ	առ	առ (ի)	I+Prep
Աստուած․	աստուած	աստուած	N+Com
բարի	բարի	բարի	A
է	է	եմ	V
մեզ	մեզ	մեք	PRO+Per1p
մերձենալ	մերձենալ	մերձենամ	V
առ	առ	առ (ի)	I+Prep
Աստուած։	աստուած	աստուած	N+Com
Եւ	եւ	եւ	I+Conj
որպէս	որպէս	որպէս	I+Conj
ասացն	ասացն	ասեմ@ն	V@PRO+Dem
Պաւղոս․	պաւղոս	Պաւղոս	N+Ant
Նեղութիւն	նեղութիւն	նեղութիւն	N+Com
զհամբերութիւն	զհամբերութիւն	զ@համբերութիւն	I+Prep@N+Com
գործէ․	գործէ	գործեմ	V
եւ	եւ	եւ	I+Conj
նա՝	նա	նա (նա)	PRO+Dem
զհանդէս,	զհանդէս	զ@հանդէս	I+Prep@N+Com
եւ	եւ	եւ	I+Conj
նա՝	նա	նա (նա)	PRO+Dem
զյոյս,	զյոյս	զ@յոյս	I+Prep@N+Com
եւ	եւ	եւ	I+Conj
նա՝	նա	նա (նա)	PRO+Dem
ոչ	ոչ	ոչ	I+Neg
ամաչեցուցանէ,	ամաչեցուցանէ	ամաչեցուցանեմ	V
այլ	այլ	այլ (եւ)	I+Conj
առնէ	առնէ	առնեմ	V
զմիտս	զմիտս	զ@միտ	I+Prep@N+Com
ընդունակ	ընդունակ	ընդունակ	A
արքայութեան	արքայութեան	արքայութիւն	N+Com
երկնից։	երկնից	երկին	N+Com
Եւ	եւ	եւ	I+Conj
այժմ	այժմ	այժմ	I+Adv
դու	դու	դու	PRO+Per2s
հեզդ,	հեզդ	հեզ@դ	A@PRO+Dem
բարեհայեաց	բարեհայեաց	բարեհայեաց	A
լեր	լեր	լինիմ	V
ոչ	ոչ	ոչ	I+Neg
միայն	միայն	միայն	A
առ	առ	առ (ի)	I+Prep
կանայս,	կանայս	կին	N+Com
այլ	այլ	այլ (եւ)	I+Conj
եւ	եւ	եւ	I+Conj
առ	առ	առ (ի)	I+Prep
արս,	արս	այր (արանց)	N+Com
եւ	եւ	եւ	I+Conj
առ	առ	առ (ի)	I+Prep
ա՛յլ	այլ	այլ (այլոց)	A
ամենայն	ամենայն	ամենայն	PRO+Ind
ոք՝	ոք	ոք	PRO+Ind
յաւրինակ	յաւրինակ	ի@աւրինակ	I+Prep@N+Com
համբերական	համբերական	համբերական	A
առաքինութեան,	առաքինութեան	առաքինութիւն	N+Com
զոր	զոր	զ@որ	I+Prep@PRO+Rel
վայելէ	վայելէ	վայելեմ	V
աղախնոյն	աղախնոյն	աղախին@ն	N+Com@PRO+Dem
Քրիստոսի	քրիստոսի	Քրիստոս	N+Ant
մահու	մահու	մահ	N+Com
չափ	չափ	չափ	N+Com
պատերազմել,	պատերազմել	պատերազմիմ	V
եւ	եւ	եւ	I+Conj
ցուցանել	ցուցանել	ցուցանեմ	V
ամենայն	ամենայն	ամենայն	PRO+Ind
աշխարհի,	աշխարհի	աշխարհ	N+Com
եթէ	եթէ	եթե	I+Conj
այնպէս	այնպէս	այնպէս	I+Adv
զինու	զինու	զէն	N+Com
վառեաց	վառեաց	վառեմ	V
Տէր	տէր	տէր	N+Com
զկանայս,	զկանայս	զ@կին	I+Prep@N+Com
զի	զի	զի	I+Conj
յաղթեն	յաղթեն	յաղթեմ	V
արուսեկին	արուսեկին	արուսեակ@ն	N+Com@PRO+Dem
առաւաւտու	առաւաւտու	առաւաւտ	N+Com
ասացելոյ՝	ասացելոյ	ասեմ	V
տկար	տկար	տկար	A
մարմնով	մարմնով	մարմին	N+Com
եւ	եւ	եւ	I+Conj
զաւրութեամբ	զաւրութեամբ	զաւրութիւն	N+Com
պատուիրանին	պատուիրանին	պատուիրան@ն	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
քաջութեամբ	քաջութեամբ	քաջութիւն	N+Com
հաւատոց։	հաւատոց	հաւատ	N+Com
Եւ	եւ	եւ	I+Conj
մեք	մեք	մեք	PRO+Per1p
կամք	կամք	կամ (կալ)	V
ի	ի	ի	I+Prep
Տրին,	տրին	Տրին	N+Top
համբերութեամբ	համբերութեամբ	համբերութիւն	N+Com
ի	ի	ի	I+Prep
մերում	մերում	մեր	PRO+Pos1p
մարտիս․	մարտիս	մարտ@ս	N+Com@PRO+Dem
ո՛ղջ	ողջ	ողջ	A
լեր։	լեր	լինիմ	V
Նորին	նորին	նոյն	PRO+Dem
Երկրորդ	երկրորդ	երկրորդ	NUM+Ord
Թուղթ	թուղթ	թուղթ	N+Com
῀ժբ․	ժբ	ժբ	NUMA+Car
Գրես	գրես	գրեմ	V
միշտ	միշտ	միշտ	I+Adv
առ	առ	առ (ի)	I+Prep
իս	իս	ես	PRO+Per1s
որպէս	որպէս	որպէս	I+Conj
առ	առ	առ (ի)	I+Prep
մշակ	մշակ	մշակ	N+Com
երկնային	երկնային	երկնային	A
երկրին,	երկրին	երկիր@ն	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
ոչ	ոչ	ոչ	I+Neg
է	է	եմ	V
տեսեալ	տեսեալ	տեսանեմ	V
քո	քո	դու	PRO+Per2s
զանդն	զանդն	զ@անդ@ն	I+Prep@N+Com@PRO+Dem
իմ	իմ	ես	PRO+Per1s
լի	լի	լի	A
փշովք	փշովք	փուշ	N+Com
եւ	եւ	եւ	I+Conj
տատասկով,	տատասկով	տատասկ	N+Com
եւ	եւ	եւ	I+Conj
ոչ	ոչ	ոչ	I+Neg
զայգին	զայգին	զ@այգի@ն	I+Prep@N+Com@PRO+Dem
իմ	իմ	ես	PRO+Per1s
գաւս	գաւս	գաւս	A
եւ	եւ	եւ	I+Conj
անպտուղ,	անպտուղ	անպտուղ	A
զրկեալ	զրկեալ	զրկեմ	V
ի	ի	ի	I+Prep
հոգեւոր	հոգեւոր	հոգեւոր	A
ողկուզաց։	ողկուզաց	ողկոյզ	N+Com
Բայց	բայց	բայց	I+Conj
համարձակիմք	համարձակիմք	համարձակեմ	V
ասել,	ասել	ասեմ	V
թէ	թէ	եթե	I+Conj
ոչ	ոչ	ոչ	I+Neg
են	են	եմ	V
պատրաստեալ	պատրաստեալ	պատրաստեմ	V
հոգիք	հոգիք	հոգի	N+Com
մարմնաւորք՝	մարմնաւորք	մարմնաւոր	A
ագանել	ագանել	ագանիմ	V
կաւշիկս,	կաւշիկս	կաւշիկ	N+Com
մնալ	մնալ	մնամ	V
անխածս	անխածս	անխած	A
յաւձից	յաւձից	ի@աւձ	I+Prep@N+Com
չարաց	չարաց	չար	A
ոչ	ոչ	ոչ	I+Neg
կարեն,	կարեն	կարեմ	V
եւ	եւ	եւ	I+Conj
եղկելիք	եղկելիք	եղկելի	A
են․	են	եմ	V
եւ	եւ	եւ	I+Conj
ի	ի	ի	I+Prep
պակասութենէ	պակասութենէ	պակասութիւն	N+Com
ջրոց	ջրոց	ջուր	N+Com
այրեցաք	այրեցաք	այրեմ	V
զպուտկունս	զպուտկունս	զ@պուտուկ	I+Prep@N+Com
մեր։	մեր	մեք	PRO+Per1p
Ամաչեմ	ամաչեմ	ամաչեմ	V
եւ	եւ	եւ	I+Conj
վասն	վասն	վասն	I+Prep
տապարին	տապարին	տապար@ն	N+Com@PRO+Dem
իմոյ,	իմոյ	իմ	PRO+Pos1s
թէ	թէ	եթե	I+Conj
որքան	որքան	որքան	A
հարկանէր	հարկանէր	հարկանեմ	V
ի	ի	ի	I+Prep
փայտ	փայտ	փայտ	N+Com
վայթէր	վայթէր	վայթեմ	V
հուր	հուր	հուր	N+Com
եւ	եւ	եւ	I+Conj
հարկանէր	հարկանէր	հարկանեմ	V
զվէմս,	զվէմս	զ@վէմ	I+Prep@N+Com
եւ	եւ	եւ	I+Conj
կամ	կամ	կամ (եւ)	I+Conj
զսիրտս	զսիրտս	զ@սիրտ	I+Prep@N+Com
վիմին,	վիմին	վէմ@ն	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
կամ	կամ	կամ (եւ)	I+Conj
ոչ	ոչ	ոչ	I+Neg
գիտեմ	գիտեմ	գիտեմ	V
զինչ	զինչ	զ@ինչ (իրիք)	I+Prep@PRO+Ind
կոչեցից	կոչեցից	կոչեմ	V
զնա։	զնա	զ@նա (նա)	I+Prep@PRO+Dem
Եւ	եւ	եւ	I+Conj
յետ	յետ	յետ	I+Prep
այլոցդ	այլոցդ	այլ (այլոց)@դ	A@PRO+Dem
առաքեցեր	առաքեցեր	առաքեմ	V
մեզ	մեզ	մեք	PRO+Per1p
արծաթ	արծաթ	արծաթ	N+Com
մաքուր․	մաքուր	մաքուր	A
իսկ	իսկ	իսկ	I+Conj
մեք	մեք	մեք	PRO+Per1p
բարիոք	բարիոք	բարիոք	I+Adv
առնելով	առնելով	առնեմ	V
առաքեցաք	առաքեցաք	առաքեմ	V
զնոյն	զնոյն	զ@նոյն	I+Prep@PRO+Dem
առ	առ	առ (ի)	I+Prep
քեզ։	քեզ	դու	PRO+Per2s
Սկիք	սկիք	սկի	N+Com
եւ	եւ	եւ	I+Conj
մաղզմայք՝	մաղզմայք	մաղզմայ	N+Com
զոր	զոր	զ@որ	I+Prep@PRO+Rel
արդ	արդ	արդ	I+Adv
ունիմք,	ունիմք	ունիմ	V
ոչ	ոչ	ոչ	I+Neg
գիտացաք	գիտացաք	գիտեմ	V
կազմել․	կազմել	կազմեմ	V
եւ	եւ	եւ	I+Conj
երանի՛	երանի	երանի	A
այժմ	այժմ	այժմ	I+Adv
թէ	թէ	եթե	I+Conj
պակասիմ	պակասիմ	պակասեմ	V
ի	ի	ի	I+Prep
բանդէ․	բանդէ	բանդ	N+Com
մի՛թէ	միթէ	միթե	I+Adv
իւիք	իւիք	իք	PRO+Ind
վիրաւորեցաք	վիրաւորեցաք	վիրաւորեմ	V
զարեգակն	զարեգակն	զ@արեգակն	I+Prep@N+Com
ալամփոս։	ալամփոս	Ողիմպոս	N+Top
Բայց	բայց	բայց	I+Conj
գոհանամ	գոհանամ	գոհանամ	V
զԱստուծոյ,	զաստուծոյ	զ@աստուած	I+Prep@N+Com
զի	զի	զի	I+Conj
արարաք	արարաք	առնեմ	V
զատիկ	զատիկ	զատիկ	N+Com
սուրբ	սուրբ	սուրբ	A
ընդ	ընդ	ընդ	I+Prep
այրս	այրս	այր (արանց)@ս	N+Com@PRO+Dem
բարի,	բարի	բարի	A
որ	որ	որ	PRO+Rel
խաղաղեաց	խաղաղեաց	խաղաղեմ	V
զանձինս	զանձինս	զ@անձն	I+Prep@N+Com
մեր	մեր	մեք	PRO+Per1p
մխիթարութեամբն	մխիթարութեամբն	մխիթարութիւն@ն	N+Com@PRO+Dem
իւրով։	իւրով	իւր (իւրոց)	PRO+Pos3
Թուղթ	թուղթ	թուղթ	N+Com
Երրորդ	երրորդ	երրորդ	NUM+Ord
῀ժգ․	ժգ	ժգ	NUMA+Car
Ինչ՝	ինչ	ինչ (իրիք)	PRO+Ind
զոր	զոր	զ@որ	I+Prep@PRO+Rel
ոչ	ոչ	ոչ	I+Neg
ոք	ոք	ոք	PRO+Ind
կարէ	կարէ	կարեմ	V
իմանալ	իմանալ	իմանամ	V
եւ	եւ	եւ	I+Conj
կամ	կամ	կամ (եւ)	I+Conj
առնուլ՝	առնուլ	առնում	V
գրեցեր	գրեցեր	գրեմ	V
առաքեցեր	առաքեցեր	առաքեմ	V
առ	առ	առ (ի)	I+Prep
մեզ,	մեզ	մեք	PRO+Per1p
եւ	եւ	եւ	I+Conj
զայն	զայն	զ@այն	I+Prep@PRO+Dem
զոր	զոր	զ@որ	I+Prep@PRO+Rel
ցանկամք	ցանկամք	ցանկամ	V
ուսանել	ուսանել	ուսանիմ	V
եւ	եւ	եւ	I+Conj
առնուլ,	առնուլ	առնում	V
ոչ	ոչ	ոչ	I+Neg
առաքեցեր․	առաքեցեր	առաքեմ	V
թէ	թէ	եթե	I+Conj
ո՞վ	ով	ո՞	PRO+Int
է	է	եմ	V
որ	որ	որ	PRO+Rel
ընկալաւ	ընկալաւ	ընդունիմ	V
զքեզ,	զքեզ	զ@դու	I+Prep@PRO+Per2s
եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
իցէ՞	իցէ	եմ	V
աւրհնեալ․	աւրհնեալ	աւրհնեմ	V
