context = You are an expert in computational linguistics with a specialization in Old Georgian language processing. An academic has compiled a database of Old Georgian words and their associated lemma and part-of-speech (POS) tags in a .tsv format, and now requires assistance in tagging new, unseen Old Georgian texts.
Objective (O):  Examine the provided Old Georgian content and accurately assign lemma and POS tags to each word, expanding the existing database with entries that follow the established annotation schema.
Style (S): Scientific and analytical.
Tone (T): Neutral and technical.
Audience (A): Expert linguists and researchers specializing in Old Georgian language.
Response Format (R): A .tsv table with three columns: token, lemma, and POS tag. Each token must have a corresponding lemma and POS tag, as shown in the examples below.
form	lemma	pos
ქალდეველთაგან	ქალდეველი@გან	A@I+Prep
გამოსხმულნი	გამოსხმული	V+Part
ჰონნი	ჰონი	A
და	და	I+Conj
ითხოვეს	თხოვა	V+Mas
ბუნ-თურქთა	ბუნ-თურქი	A
უფლისაგან	უფალი@გან	N+Com@I+Prep
ქუეყანაჲ	ქუეყანაჲ	N+Com
ხარკითა	ხარკი	N+Com
და	და	I+Conj
დასხდეს	დასხმა	V+Mas
იგინი	იგი	PRO+Dem
ზანავს	ზანავ	N+Top
და	და	I+Conj
ეპყრა	პყრობა	V+Mas
იგი	იგი	PRO+Dem
რომელ	რომელი (იგი)	PRO+Rel
ხარკითა	ხარკი	N+Com
აქუნდა	ქონება	V+Mas
ჰრქჳან	რქუმა	V+Mas
მას	იგი	PRO+Dem
ხერკი	ხერკი	N+Top
და	და	I+Conj
შემდგომად	შემდგომი	V+Part
რაოდენისამე	რაოდენი@მე	PRO+Int@PRO+Dem
ჟამისა	ჟამი	N+Com
მოვიდა	მოსლვა	V+Mas
ალექსანდრე	ალექსანდრე	N+Ant
მეფჱ	მეფჱ	N+Com
ყოვლისა	ყოველი	A
ქუეყანისაჲ	ქუეყანაჲ	N+Com
და	და	I+Conj
დალეწნა	დალეწვა	V+Mas
სამნი	სამი	NUM+Car
ესე	ესე	PRO+Dem
ქალაქნი	ქალაქი	N+Com
და	და	I+Conj
ციხენი	ციხჱ	N+Com
და	და	I+Conj
ჰონთა	ჰონი	A
დასცა	დაცემა	V+Mas
მახჳლი	მახჳლი	A
ხოლო	ხოლო	I+Conj
სარკინესა	სარკინე	N+Top
ქალაქსა	ქალაქი	N+Com
ებრძოლა	ბრძოლა	V+Mas
ათერთმეტ	ათერთმეტი	NUM+Car
თთუჱ	თთუჱ	N+Com
და	და	I+Conj
დადგა	დადგომა	V+Mas
სარკინესა	სარკინე	N+Top
დასავალით	დასავალი	V+Part
კერძო	კერძოჲ	A
და	და	I+Conj
დასცა	დაცემა	V+Mas
ვენაჴი	ვენაჴი	N+Com
და	და	I+Conj
რუჲ	რუჲ	N+Com
გამოიღო	გამოღება	V+Mas
ქსნით	ქსანი	N+Top
და	და	I+Conj
დასხნა	დასხმა	V+Mas
კაცნი	კაცი	N+Com
მერუვენი	მერუვჱ	A
დასტაგითა	დასტაგი	N+Com
რუჲსაჲთა	რუჲ	N+Com
და	და	I+Conj
ჰრქჳან	რქუმა	V+Mas
ადგილსა	ადგილი	N+Com
მას	იგი	PRO+Dem
ნასტაგისი	ნასტაგისი	N+Top
და	და	I+Conj
მერმე	მერმე	I+Adv
გამოიღო	გამოღება	V+Mas
სარკინე	სარკინე	N+Top
თჳთ	თჳთ	I+Adv
დაყარეს	დაყრა	V+Mas
და	და	I+Conj
მეოტ	მეოტი	N+Com
იქმნნეს	ქმნა	V+Mas
და	და	I+Conj
თანა-ჰყვანდა	თანაყოლა	V+Mas
ალექსანდრეს	ალექსანდრე	N+Ant
მეფესა	მეფჱ	N+Com
აზოჲ	აზო	N+Ant
ძჱ	ძჱ	N+Com
არიან-ქართლისა	არიან-ქართლი	N+Top
მეფისაჲ	მეფჱ	N+Com
და	და	I+Conj
მას	იგი	PRO+Dem
მიუბოძა	მიბოძება	V+Mas
მცხეთაჲ	მცხეთა	N+Top
საჯდომად	საჯდომი	V+Part
და	და	I+Conj
საზღვარი	საზღვარი	N+Com
დაუდვა	დადება	V+Mas
მას	იგი	PRO+Dem
ჰერეთი	ჰერეთი	N+Top
და	და	I+Conj
ეგრის	ეგრი	N+Top
წყალი	წყალი	N+Com
და	და	I+Conj
სომხითი	სომხითი	N+Top
და	და	I+Conj
მთაჲ	მთაჲ	N+Com
ცროლისაჲ	ცროლი	N+Top
და	და	I+Conj
