context = You are an expert in computational linguistics with a specialization in Ancient Greek language processing. An academic has compiled a database of Ancient Greek words and their associated lemma and part-of-speech (POS) tags in a .tsv format, and now requires assistance in tagging new, unseen Ancient Greek texts.
Objective (O):  Examine the provided Ancient Greek content and accurately assign lemma and POS tags to each word, expanding the existing database with entries that follow the established annotation schema.
Style (S): Scientific and analytical.
Tone (T): Neutral and technical.
Audience (A): Expert linguists and researchers specializing in Ancient Greek language.
Response Format (R): A .tsv table with three columns: token, lemma, and POS tag. Each token must have a corresponding lemma and POS tag, as shown in the examples below.
form	lemma	pos
ταὐτόν	ὁ@αὐτός	DET@PRO+Dem
οἶμαι	οἴομαι (–ω)	V
πέπονθας	πάσχω	V
ταῖς	ὁ	DET
μελίσσαις	μέλισσα	N+Com
ὅτε	ὅτε	I+Conj
τάς	ὁ	DET
ἀρχάς	ἀρχή	N+Com
ζητεῖν	ζητέω	V
τοῦ	ὁ	DET
μέλιτος	μέλι	N+Com
κατεπείγονται	κατεπείγω	V
παρατρέχουσι	παρατρέχω	V
μέν	μέν	I+Part
γάρ	γάρ	I+Part
ὡς	ὡς (ὅς)	I+Conj
φασι	φημί	V
τῶν	ὁ	DET
ἀνθέων	ἄνθος (τό)	N+Com
τά	ὁ	DET
εὔοσμα	εὔοσμος	A
ἐφίπτανται	ἐφίπταμαι	V
δέ	δέ	I+Part
τῷ	ὁ	DET
θύμῳ	θύμος	N+Com
φυτῷ	φυτόν	N+Com
δριμύτητος	δριμύτης	N+Com
γέμοντι	γέμω	V
καί	καί	I+Part
λίαν	λίαν	I+Adv
ἀνόσμῳ	ἄνοσμος	A
ἀλλά	ἀλλά	I+Part
δεινόν	δεινός	A
ἡ	ὁ	DET
φιλία	φιλία	N+Com
πάντας	πᾶς	A
ἁπλῶς	ἁπλῶς	I+Adv
τούς	ὁ	DET
ἐνισχυμένους	ἐνισχύω	V
γε	γε	I+Part
ταύτῃ	οὗτος	PRO+Dem
πάντα	πᾶς	A
καί	καί	I+Part
λέγειν	λέγω	V
ὑπέρ	ὑπέρ	I+Prep
τῶν	ὁ	DET
φίλων	φίλος	A
καί	καί	I+Part
πράττειν	πράσσω	V
πρός	πρός	I+Prep
βίαν	βία (βίαιος)	N+Com
κινοῦσα	κινέω	V
τόν	ὁ	DET
παρά	παρά	I+Prep
τῶν	ὁ	DET
πολλῶν	πολύς	A
ἔπαινον	ἔπαινος	N+Com
αὐτοῖς	αὐτός	PRO+Dem
προξενεῖν	προξενέω	V
εἰωθυῖα	ἔθω	V
τοῦτο	οὗτος	PRO+Dem
γάρ	γάρ	I+Part
ἦν	εἰμί	V
τό	ὁ	DET
καί	καί	I+Part
σε	σύ	PRO+Per2s
τοσοῦτον	τοσοῦτος	PRO+Dem
ἡμᾶς	ἡμεῖς	PRO+Per1p
ἀναπεῖσαι	ἀναπείθω	V
καταναγκάσαν	καταναγκάζω	V
τήν	ὁ	DET
ἐκ	ἐκ	I+Prep
τῶν	ὁ	DET
ἀκουόντων	ἀκούω	V
ἡμῖν	ἡμεῖς	PRO+Per1p
εὐφημίαν	εὐφημία	N+Com
ἴσως	ἴσως	I+Adv
προσγενέσθαι	προσγίγνομαι	V
βεβουλημένον	βούλομαι	V
κἀντεῦθεν	καί@ἐντεῦθεν	I+Part@I+Adv
τῇ	ὁ	DET
φιλίᾳ	φιλία	N+Com
χαρίσασθαι	χαρίζομαι (–ω)	V
ἐγώ	ἐγώ	PRO+Per1s
μέν	μέν	I+Part
οὖν	οὖν	I+Part
βουλοίμην	βούλομαι	V
ἄν	ἄν	I+Part
τήν	ὁ	DET
σιωπήν	σιωπή	N+Com
ὡς	ὡς (ὅς)	I+Conj
ἀκίνδυνον	ἀκίνδυνος	A
μᾶλλον	μάλα	I+Adv
ἑλέσθαι	αἱρέω	V
καί	καί	I+Part
τήν	ὁ	DET
παροῦσαν	πάρειμι (εἰμί)	V
ὑπόθεσιν	ὑπόθεσις	N+Com
ὡς	ὡς (ὅς)	I+Conj
τήν	ὁ	DET
ἐμήν	ἐμός	PRO+Pos1s
ὑπερβαίνουσαν	ὑπερβαίνω	V
δύναμιν	δύναμις	N+Com
παραιτήσασθαι	παραιτέομαι	V
πάνυ	πάνυ	I+Adv
δικαίως	δικαίως	I+Adv
λαβών	λαμβάνω	V
δ´	δέ	I+Part
ἐπί	ἐπί	I+Prep
νοῦν	νόος	N+Com
τῆς	ὁ	DET
ἀπειθείας	ἀπείθεια	N+Com
τόν	ὁ	DET
κίνδυνον	κίνδυνος	N+Com
ὅσος	ὅσος	PRO+Rel
καί	καί	I+Part
διά	διά	I+Prep
τοῦτ´	οὗτος	PRO+Dem
εἰς	εἰς	I+Prep
ἀνάγκην	ἀνάγκη	N+Com
συνελαθείς	συνελαύνω	V
ἀπαραίτητον	ἀπαραίτητος	A
δεῖν	δέω (δεήσω)	V
ᾤμην	οἴομαι (–ω)	V
ἕτοιμον	ἕτοιμος	A
ἐμαυτόν	ἐμαυτοῦ	PRO+Ref1s
παρασχεῖν	παρέχω	V
σου	σύ	PRO+Per2s
τῇ	ὁ	DET
ἀξιώσει	ἀξίωσις	N+Com
καί	καί	I+Part
σου	σύ	PRO+Per2s
τοὐπίταγμα	ὁ@ἐπίταγμα	DET@N+Com
πεπληρωκέναι	πληρόω	V
ὡς	ὡς (ὅς)	I+Conj
δύναμις	δύναμις	N+Com
κἀπειδήπερ	καί@ἐπειδήπερ	I+Part@I+Conj
ἐπικλινής	ἐπικλινής	A
ἐγώ	ἐγώ	PRO+Per1s
καί	καί	I+Part
εὐγνώμων	εὐγνώμων	A
πρός	πρός	I+Prep
τό	ὁ	DET
ζητούμενον	ζητέω	V
ὤφθην	ὁράω	V
σοι	σύ	PRO+Per2s
καί	καί	I+Part
σήν	σός	PRO+Pos2s
χάριν	χάρις	N+Com
ὧν	ὅς ἥ ὅ	PRO+Rel
οὐκ	οὐ	I+Neg
ἐβουλόμην	βούλομαι	V
κατατετολμηκέναι	κατατολμάω	V
προῄρημαι	προαιρέω	V
δίκαιον	δίκαιος	A
ἄν	ἄν	I+Part
εἴη	εἰμί	V
καί	καί	I+Part
σε	σύ	PRO+Per2s
τῆς	ὁ	DET
ἐγχειρήσεως	ἐγχείρησις	N+Com
ταύτης	οὗτος	PRO+Dem
ἡμῖν	ἡμεῖς	PRO+Per1p
ταῖς	ὁ	DET
εὐχαῖς	εὐχή	N+Com
συνεφάψασθαι	συνεφάπτομαι	V
ἵν´	ἵνα	I+Conj
ὁδηγηθέντες	ὁδηγέω	V
καί	καί	I+Part
δύναμιν	δύναμις	N+Com
ἐσχηκότες	ἔχω	V
λόγου	λόγος	N+Com
καί	καί	I+Part
διανοίας	διάνοια	N+Com
ὀξύτητα	ὀξύτης	N+Com
τῆς	ὁ	DET
σῆς	σός	PRO+Pos2s
φανῶμεν	φαίνω	V
ἄξιον	ἄξιος	A
ἐπιθυμίας	ἐπιθυμία	N+Com
ἐργάσασθαι	ἐργάζομαι	V
καί	καί	I+Part
μηδέ	μηδέ	I+Part
τήν	ὁ	DET
ὑπόθεσιν	ὑπόθεσις	N+Com
καθυβρίσωμεν	καθυβρίζω	V
παρακαλῶ	παρακαλέω	V
δέ	δέ	I+Part
καί	καί	I+Part
πάντας	πᾶς	A
τούς	ὁ	DET
ἐντευξομένους	ἐντυγχάνω	V
τῷ	ὁ	DET
πάσης	πᾶς	A
ἀμουσίας	ἀμουσία	N+Com
πεπληρωμένῳ	πληρόω	V
τῷδε	ὅδε	PRO+Dem
συγγράμματι	σύγγραμμα	N+Com
συγγνώμην	συγγνώμη	N+Com
ἡμῖν	ἡμεῖς	PRO+Per1p
παρασχεῖν	παρέχω	V
ἐξ	ἐκ	I+Prep
ἑτοίμου	ἕτοιμος	A
τήν	ὁ	DET
ἡμετέραν	ἡμέτερος	PRO+Pos1p
εὐπείθειαν	εὐπείθεια	N+Com
ἀποδεξαμένους	ἀποδέχομαι	V
οὐ	οὐ	I+Neg
γάρ	γάρ	I+Part
δυνάμει	δύναμις	N+Com
λόγων	λόγος	N+Com
τεθαρρηκότες	θαρσέω	V
ἐπί	ἐπί	I+Prep
τοῦτο	οὗτος	PRO+Dem
προήγμεθα	προάγω	V
ἵνα	ἵνα	I+Conj
καί	καί	I+Part
μέμψιν	μέμψις	N+Com
σχῶμεν	ἔχω	V
δικαίως	δικαίως	I+Adv
παρά	παρά	I+Prep
τοῦ	ὁ	DET
βουλομένου	βούλομαι	V
παντός	πᾶς	A
πολλοῦ	πολύς	A
γε	γε	I+Part
καί	καί	I+Part
γάρ	γάρ	I+Part
δέομεν	δέω (δεήσω)	V
τοῦ	ὁ	DET
λόγους	λόγος	N+Com
εἰδέναι	οἶδα	V
